,location_name,lat,lon,location_type,M1,MyRepublic,Singtel,StarHub
341,Bishan East Zone 1 RC,1.34681028908282,103.84904106245,Community,True,False,False,False
230,Changi Simei CC,1.34493553057398,103.955110948119,Community,True,False,False,False
1572,Food Court / Canteen,1.30399550833056,103.773492158612,School,False,False,False,True
929,Sembawang Zone E RC,1.44159550066733,103.80110649092,Community,True,False,False,False
519,KFC Airport T1,1.36249100429106,103.989707260542,F&B,True,False,False,False
1694,McDonald's Toa Payoh Lorong 1,1.34123727018888,103.846202466569,F&B,False,False,True,False
1250,Snipe Avenue Holdings Pte Ltd @ HOUGANG,1.37361829461042,103.885748860624,Retail Shop,True,False,False,False
1195,Yew Tee Zone 11 RC,1.40349427603054,103.748677236272,Community,True,False,False,False
56,Depot Heights RC,1.28054679594446,103.811571536842,Community,True,False,False,False
1168,THK Senior Activity Centre @ Macpherson,1.32337964322862,103.886521328669,Welfare Organisation,True,False,False,False
1385,Kebun Baru Mall,1.36719653066988,103.840022228988,F&B,False,False,True,False
1310,Addedsport Pte Ltd,1.27995397447364,103.822788898525,Commercial,False,True,False,False
759,NLB @ Toa Payoh,1.33352076184374,103.85049180316,Community,True,False,False,False
1490,TBR Singapore Pte Ltd,1.27840697411722,103.848235947765,Commercial,False,True,False,False
1273,Tan Tock Seng Hospital,1.32171597672813,103.845389014275,Healthcare,True,False,False,False
64,Academia @SGH - DY - L03,1.28167037684922,103.835585516688,Healthcare,True,False,False,False
129,Goodlife,1.30488433017825,103.913940007564,Welfare Organisation,True,False,False,False
711,National University Polyclinic Choa Chu Kang,1.38234138571274,103.750776872404,Healthcare,True,False,False,False
1640,Ng Teng Fong Hospital - Ward_Tower(RH)_L11,1.33553381915145,103.743865454971,Healthcare,False,False,True,False
1376,Institute of Mental Health,1.38158954979975,103.883348803315,Healthcare,False,False,True,False
1353,"DCWest (Singtel), Singapore",1.32504230621258,103.721592448387,Commercial,False,False,True,False
2,155 Waterloo St,1.3001965525977,103.852975339767,Government,True,False,False,False
1568,City Square Mall,1.31130516479714,103.856421771906,Shopping Mall,False,False,False,True
1766,Sembawang Hills Food Centre,1.37238497710041,103.828994216922,F&B,False,False,True,False
688,National Kidney Foundation (NKF) - Bedok,1.32407808003007,103.93470058048,Healthcare,True,False,False,False
1538,Blk 93 Toa Payoh Lorong 4,1.33841734088017,103.849484967897,F&B,False,False,True,False
785,Moulmein Tekka RC,1.30849052094512,103.852546288113,Community,True,False,False,False
1330,Thong Kheng SAC - Tanglin Cairnhill,1.28413291077909,103.823203001177,Welfare Organisation,True,False,False,False
953,Sentosa Development Corporation,1.28781011450161,103.844936098878,Others,True,False,False,False
175,Housing and Development Board,1.37805596134186,103.87042647002,F&B,True,False,False,False
509,Jurong Central Zone E RC,1.34729503214292,103.734573253901,Community,True,False,False,False
1375,Hougang - NEL,1.37033472167609,103.892261758406,Public Transport,False,False,True,False
781,National Design Centre,1.29876171593827,103.853379709661,Government,True,False,False,False
1276,Tanjong Pagar CC,1.27616698002633,103.841584210034,Community,True,False,False,False
99,Housing and Development Board (sin036),1.3588411405364,103.836938067668,F&B,True,False,False,False
824,Pizza Hut Keat Hong,1.3770226541221,103.745708217988,F&B,True,False,False,False
527,KFC Bedok,1.32463572606471,103.931068835678,F&B,True,False,False,False
20,Academia @SGH - DN - L05,1.28167037684922,103.835585516688,Healthcare,True,False,False,False
1335,Toa Payoh East CC,1.33627489206396,103.85470024903,Community,True,False,False,False
1312,Artlas Pte Ltd,1.28493523755218,103.808916555027,Commercial,False,True,False,False
1427,McDonald's Choa Chu Kang Str 62,1.39778139107437,103.746974057323,F&B,False,False,True,False
1179,Taman Jurong Zone E RC,1.33745033948688,103.722395565233,Community,True,False,False,False
699,National Kidney Foundation (NKF) - Pasir Ris St 11,1.36424806028678,103.960032941294,Healthcare,True,False,False,False
405,Brontosaur Park RC,1.37594758287424,103.936000880125,Community,True,False,False,False
723,Pizza Hut Hougang Mall,1.37231185642959,103.89366161203,F&B,True,False,False,False
1596,McDonalds Aloccassia Apartments,1.3194361679797,103.82734585139,F&B,False,False,True,False
238,Cheng San FSC,1.36701311441211,103.855585768347,Welfare Organisation,True,False,False,False
157,Hougang Zone 2 RC,1.36720841502809,103.895490123271,Community,True,False,False,False
23,Academia @SGH - DN - L08,1.28167037684922,103.835585516688,Healthcare,True,False,False,False
460,Marsling Zone 7 RC,1.44540729057289,103.773369825172,Community,True,False,False,False
749,NLB @ Marine Parade,1.30482859822658,103.9095452826,Community,True,False,False,False
1079,SGH BLK 6 - L07,1.27993968247,103.830721777631,Healthcare,True,False,False,False
502,Jalan Membina RC,1.28302965363302,103.82723671891,Community,True,False,False,False
1482,Retro Development Pte Ltd,1.32940352642374,103.87873607679,Commercial,False,True,False,False
229,Changi One City,1.33355500463909,103.962425426305,Commercial,True,False,False,False
647,Pizza Hut Bukit Batok,1.34716235836064,103.742807879366,F&B,True,False,False,False
431,Lions Befrienders (Clementi) Senior Activity Centre,1.30973330594899,103.768637303114,Welfare Organisation,True,False,False,False
1019,Queenstown Rumah Tinggi Zone RC,1.28881614850014,103.808205292377,Community,True,False,False,False
1479,Prestige Furniture Pte Ltd,1.28752067458927,103.833992872035,Commercial,False,True,False,False
747,NLB @ LSC,1.33018466474467,103.964684738226,Community,True,False,False,False
1324,The Frontier CC,1.34046956412475,103.704452685304,Community,True,False,False,False
102,Housing and Development Board (tam031),1.33976481154055,103.943122664621,F&B,True,False,False,False
441,MacPherson Zone A RC,1.32684923065663,103.886293549991,Community,True,False,False,False
938,Sengkang Polyclinic - Level 2,1.39278558587024,103.893906102774,Healthcare,True,False,False,False
326,Bedok Integrated Complex,1.32587564339907,103.932493044829,Community,True,False,False,False
671,National Heart Centre Singapore - E - L12,1.27863260198985,103.835954418501,Healthcare,True,False,False,False
109,Hwi Yoh Court RC,1.37067352607975,103.870263927825,Community,True,False,False,False
1111,West Coast Green RC,1.3057187217028,103.762167772954,Community,True,False,False,False
862,Paya Lebar Zone 5 RC,1.35313871558187,103.887727364285,Community,True,False,False,False
1758,Temasek Hall (TMH),1.29275215470235,103.771365186918,School,False,False,False,True
1666,McDonald's Parkway,1.30188733400279,103.9059960379,F&B,False,False,True,False
89,Gek Poh Ville CC,1.34868981937877,103.698726261357,Community,True,False,False,False
428,Lengkong Tiga RC,1.32458075687612,103.910697530828,Community,True,False,False,False
997,Punggol Jewel RC,1.40479713290427,103.896616090591,Community,True,False,False,False
1463,M2 Garage Pte Ltd,1.44927125293508,103.79885217286,Commercial,False,True,False,False
681,National Heart Centre Singapore - W - L08,1.27863260198985,103.835954418501,Healthcare,True,False,False,False
1306,Zhenghua CC,1.3868068291971,103.771520846382,Community,True,False,False,False
1165,THK SAC @ Toa Payoh Blk 15,1.33592183407727,103.85905848409,Welfare Organisation,True,False,False,False
940,Sengkang South Zone G RC,1.38842868211174,103.874322932502,Community,True,False,False,False
1703,McDonald's West Coast Park,1.29754924113524,103.763301629562,F&B,False,False,True,False
1222,Singhealth - SHBM - Connection One - Tower 1 Level 17,1.28331164506167,103.818864967107,Healthcare,True,False,False,False
1569,Cyber Security Agency (MND Complex),1.27904432017713,103.845635163894,Government,False,False,False,True
1050,SGH BLK 4,1.27993968247,103.830721777631,Healthcare,True,False,False,False
335,Bedok Reservoir-Punggol Parkview RC,1.37801000402671,103.901070790195,Community,True,False,False,False
289,Academia @SGH - DY - L12,1.28167037684922,103.835585516688,Healthcare,True,False,False,False
1531,Blk 724 Ang Mo Kio Ave 6,1.37217258353347,103.846510311595,F&B,False,False,True,False
512,Jurong Spring Zone D RC,1.35291392915541,103.716072728922,Community,True,False,False,False
70,Evergreen Circle SAC,1.34981132540974,103.932607943405,Welfare Organisation,True,False,False,False
716,National neuroscience Institute of Singapore Pte Ltd (NNIS),1.32171597672813,103.845389014275,Healthcare,True,False,False,False
363,Buona Vista CC,1.30925871460611,103.792619417011,Community,True,False,False,False
125,Jalan Kayu Zone 7 RC,1.38045230791703,103.879333196929,Community,True,False,False,False
